"mois","MoyenneLeverSoleil","MoyenneCoucherSoleil","dureeJour","dureeNuit"
"janvier",08:26:00,17:43:00,09:17:00,14:42:00
"fevrier",07:55:00,18:23:00,10:27:00,13:32:00
"mars",07:12:00,19:07:00,11:55:00,12:04:00
"avril",07:11:00,20:39:00,13:27:00,10:32:00
"mai",06:28:00,21:15:00,14:46:00,09:13:00
"juin",06:11:00,21:39:00,15:28:00,08:31:00
"juillet",06:26:00,21:35:00,15:08:00,08:51:00
"aout",06:59:00,20:58:00,13:59:00,10:00:00
"septembre",07:34:00,20:05:00,12:31:00,11:28:00
"octobre",08:05:00,19:05:00,10:59:00,13:00:00
"novembre",07:51:00,17:29:00,09:38:00,14:21:00
"decembre",08:23:00,17:18:00,08:55:00,15:04:00
