,Installation,Onduleur,Puissance Installée (kW),NumeroOnduleurCentrale
0,JADAS,OND2-XP550-OD,556.2,2
1,JADAS,OND3-XP1000-BP,1198.53,3
2,JADAS,OND1-XP1000-BP,1198.53,1
0,LYCEE RESTAT,112040024,77.28,11
1,LYCEE RESTAT,111540077,115.92,9
2,LYCEE RESTAT,104340131,77.28,4
3,LYCEE RESTAT,112040081,115.92,7
4,LYCEE RESTAT,112040090,105.5,5
540,LYCEE RESTAT,112040027,77.28,1
541,LYCEE RESTAT,113040044,115.92,10
542,LYCEE RESTAT,104340132,83.03,2
543,LYCEE RESTAT,112040094,115.92,8
544,LYCEE RESTAT,110240095,56.81,3
545,LYCEE RESTAT,112040082,115.92,6 
